sku,name,texture_knit,texture_woven,texture_shirt,neckline,sleeve_length,start_end,closure_front,cutting,fit,pockets,leather_details,slit,shoulder_finishing,pattern,fancy_yarn,detail_1,detail_2,detail_3,detail_4,detail_5,chest_width,length,care_info_short,model_wears,quality,url_key
70001-0307,Poncho en cachemire,Maille fine,,,Col bateau,"Côtés ouverts, sans emmanchures",,,Poncho en coupe pointue,"Forme ample, décontractée",,,,,,,,,,,,102,90,Lavage à la main,Taille unique,100% Cachemire,poncho-en-cachemire-w161-fr-1
70001-0325,Poncho en cachemire,Maille fine,,,Col bateau,"Côtés ouverts, sans emmanchures",,,Poncho en coupe pointue,"Forme ample, décontractée",,,,,,,,,,,,102,90,Lavage à la main,Taille unique,100% Cachemire,poncho-en-cachemire-w161-fr-2
70001-0330,Poncho en cachemire,Maille fine,,,Col bateau,"Côtés ouverts, sans emmanchures",,,Poncho en coupe pointue,"Forme ample, décontractée",,,,,,,,,,,,102,90,Lavage à la main,Taille unique,100% Cachemire,poncho-en-cachemire-w161-fr-3
70001-0331,Poncho en cachemire,Maille fine,,,Col bateau,"Côtés ouverts, sans emmanchures",,,Poncho en coupe pointue,"Forme ample, décontractée",,,,,,,,,,,,102,90,Lavage à la main,Taille unique,100% Cachemire,poncho-en-cachemire-w161-fr-4
70001-0337,Poncho en cachemire,Maille fine,,,Col bateau,"Côtés ouverts, sans emmanchures",,,Poncho en coupe pointue,"Forme ample, décontractée",,,,,,,,,,,,102,90,Lavage à la main,Taille unique,100% Cachemire,poncho-en-cachemire-w161-fr-5
70001-0354,Poncho en cachemire,Maille fine,,,Col bateau,"Côtés ouverts, sans emmanchures",,,Poncho en coupe pointue,"Forme ample, décontractée",,,,,,,,,,,,102,90,Lavage à la main,Taille unique,100% Cachemire,poncho-en-cachemire-w161-fr-6
70001-0370,Poncho en cachemire,Maille fine,,,Col bateau,"Côtés ouverts, sans emmanchures",,,Poncho en coupe pointue,"Forme ample, décontractée",,,,,,,,,,,,102,90,Lavage à la main,Taille unique,100% Cachemire,poncho-en-cachemire-w161-fr-7
70001-0373,Poncho en cachemire,Maille fine,,,Col bateau,"Côtés ouverts, sans emmanchures",,,Poncho en coupe pointue,"Forme ample, décontractée",,,,,,,,,,,,102,90,Lavage à la main,Taille unique,100% Cachemire,poncho-en-cachemire-w161-fr-8
70002-0305,Large écharpe en cachemire,Maille fine,,,,,Bords côtelés,,Écharpe tricotée,,,,,,,,,,,,,40,175,Lavage à la main,Taille unique,100% Cachemire,large-echarpe-en-cachemire-w161-fr-9
70002-0307,Large écharpe en cachemire,Maille fine,,,,,Bords côtelés,,Écharpe tricotée,,,,,,,,,,,,,40,175,Lavage à la main,Taille unique,100% Cachemire,large-echarpe-en-cachemire-w161-fr-10
