sku,name,texture_knit,texture_woven,texture_shirt,neckline,sleeve_length,start_end,closure_front,cutting,fit,pockets,leather_details,slit,shoulder_finishing,pattern,fancy_yarn,detail_1,detail_2,detail_3,detail_4,detail_5,chest_width,length,care_info_short,model_wears,quality,url_key
70001-0307,Gebreide Poncho,Fijn breisel,,,Boothals,"Geen zijnaden, geen armsgaten",,,In een punt gebreide poncho,"Wijde, ruime pasvorm",,,,,,,,,,,,102,90,Handwas,1 maat,100% Cashmere,gebreide-poncho-w161-nl-1
70001-0325,Gebreide Poncho,Fijn breisel,,,Boothals,"Geen zijnaden, geen armsgaten",,,In een punt gebreide poncho,"Wijde, ruime pasvorm",,,,,,,,,,,,102,90,Handwas,1 maat,100% Cashmere,gebreide-poncho-w161-nl-2
70001-0330,Gebreide Poncho,Fijn breisel,,,Boothals,"Geen zijnaden, geen armsgaten",,,In een punt gebreide poncho,"Wijde, ruime pasvorm",,,,,,,,,,,,102,90,Handwas,1 maat,100% Cashmere,gebreide-poncho-w161-nl-3
70001-0331,Gebreide Poncho,Fijn breisel,,,Boothals,"Geen zijnaden, geen armsgaten",,,In een punt gebreide poncho,"Wijde, ruime pasvorm",,,,,,,,,,,,102,90,Handwas,1 maat,100% Cashmere,gebreide-poncho-w161-nl-4
70001-0337,Gebreide Poncho,Fijn breisel,,,Boothals,"Geen zijnaden, geen armsgaten",,,In een punt gebreide poncho,"Wijde, ruime pasvorm",,,,,,,,,,,,102,90,Handwas,1 maat,100% Cashmere,gebreide-poncho-w161-nl-5
70001-0354,Gebreide Poncho,Fijn breisel,,,Boothals,"Geen zijnaden, geen armsgaten",,,In een punt gebreide poncho,"Wijde, ruime pasvorm",,,,,,,,,,,,102,90,Handwas,1 maat,100% Cashmere,gebreide-poncho-w161-nl-6
70001-0370,Gebreide Poncho,Fijn breisel,,,Boothals,"Geen zijnaden, geen armsgaten",,,In een punt gebreide poncho,"Wijde, ruime pasvorm",,,,,,,,,,,,102,90,Handwas,1 maat,100% Cashmere,gebreide-poncho-w161-nl-7
70001-0373,Gebreide Poncho,Fijn breisel,,,Boothals,"Geen zijnaden, geen armsgaten",,,In een punt gebreide poncho,"Wijde, ruime pasvorm",,,,,,,,,,,,102,90,Handwas,1 maat,100% Cashmere,gebreide-poncho-w161-nl-8
70002-0305,Oversized cashmere sjaal,Fijn breisel,,,,,Geribde boord,,Recht gebreide sjaal,,,,,,,,,,,,,40,175,Handwas,1 maat,100% Cashmere,oversized-cashmere-sjaal-w161-nl-9
70002-0307,Oversized cashmere sjaal,Fijn breisel,,,,,Geribde boord,,Recht gebreide sjaal,,,,,,,,,,,,,40,175,Handwas,1 maat,100% Cashmere,oversized-cashmere-sjaal-w161-nl-10
70002-0311,Oversized cashmere sjaal,Fijn breisel,,,,,Geribde boord,,Recht gebreide sjaal,,,,,,,,,,,,,40,175,Handwas,1 maat,100% Cashmere,oversized-cashmere-sjaal-w161-nl-11
70002-0318,Oversized cashmere sjaal,Fijn breisel,,,,,Geribde boord,,Recht gebreide sjaal,,,,,,,,,,,,,40,175,Handwas,1 maat,100% Cashmere,oversized-cashmere-sjaal-w161-nl-12
70002-0325,Oversized cashmere sjaal,Fijn breisel,,,,,Geribde boord,,Recht gebreide sjaal,,,,,,,,,,,,,40,175,Handwas,1 maat,100% Cashmere,oversized-cashmere-sjaal-w161-nl-13
70002-0330,Oversized cashmere sjaal,Fijn breisel,,,,,Geribde boord,,Recht gebreide sjaal,,,,,,,,,,,,,40,175,Handwas,1 maat,100% Cashmere,oversized-cashmere-sjaal-w161-nl-14
70002-0331,Oversized cashmere sjaal,Fijn breisel,,,,,Geribde boord,,Recht gebreide sjaal,,,,,,,,,,,,,40,175,Handwas,1 maat,100% Cashmere,oversized-cashmere-sjaal-w161-nl-15
70002-0337,Oversized cashmere sjaal,Fijn breisel,,,,,Geribde boord,,Recht gebreide sjaal,,,,,,,,,,,,,40,175,Handwas,1 maat,100% Cashmere,oversized-cashmere-sjaal-w161-nl-16
70002-0354,Oversized cashmere sjaal,Fijn breisel,,,,,Geribde boord,,Recht gebreide sjaal,,,,,,,,,,,,,40,175,Handwas,1 maat,100% Cashmere,oversized-cashmere-sjaal-w161-nl-17
70002-0357,Oversized cashmere sjaal,Fijn breisel,,,,,Geribde boord,,Recht gebreide sjaal,,,,,,,,,,,,,40,175,Handwas,1 maat,100% Cashmere,oversized-cashmere-sjaal-w161-nl-18
70002-0359,Oversized cashmere sjaal,Fijn breisel,,,,,Geribde boord,,Recht gebreide sjaal,,,,,,,,,,,,,40,175,Handwas,1 maat,100% Cashmere,oversized-cashmere-sjaal-w161-nl-19
70002-0366,Oversized cashmere sjaal,Fijn breisel,,,,,Geribde boord,,Recht gebreide sjaal,,,,,,,,,,,,,40,175,Handwas,1 maat,100% Cashmere,oversized-cashmere-sjaal-w161-nl-20
70002-0371,Oversized cashmere sjaal,Fijn breisel,,,,,Geribde boord,,Recht gebreide sjaal,,,,,,,,,,,,,40,175,Handwas,1 maat,100% Cashmere,oversized-cashmere-sjaal-w161-nl-21
70002-0373,Oversized cashmere sjaal,Fijn breisel,,,,,Geribde boord,,Recht gebreide sjaal,,,,,,,,,,,,,40,175,Handwas,1 maat,100% Cashmere,oversized-cashmere-sjaal-w161-nl-22
70003-0307,Triangle sjaal van cashmere,Fijn breisel,,,,,,,Driehoekig gebreide sjaal,,,,,,,,,,,,,220,150,Handwas,1 maat,100% Cashmere,triangle-sjaal-cashmere-w161-nl-23
70003-0312,Triangle sjaal van cashmere,Fijn breisel,,,,,,,Driehoekig gebreide sjaal,,,,,,,,,,,,,220,150,Handwas,1 maat,100% Cashmere,triangle-sjaal-cashmere-w161-nl-24
70003-0318,Triangle sjaal van cashmere,Fijn breisel,,,,,,,Driehoekig gebreide sjaal,,,,,,,,,,,,,220,150,Handwas,1 maat,100% Cashmere,triangle-sjaal-cashmere-w161-nl-25
70003-0325,Triangle sjaal van cashmere,Fijn breisel,,,,,,,Driehoekig gebreide sjaal,,,,,,,,,,,,,220,150,Handwas,1 maat,100% Cashmere,triangle-sjaal-cashmere-w161-nl-26
70003-0330,Triangle sjaal van cashmere,Fijn breisel,,,,,,,Driehoekig gebreide sjaal,,,,,,,,,,,,,220,150,Handwas,1 maat,100% Cashmere,triangle-sjaal-cashmere-w161-nl-27
70003-0331,Triangle sjaal van cashmere,Fijn breisel,,,,,,,Driehoekig gebreide sjaal,,,,,,,,,,,,,220,150,Handwas,1 maat,100% Cashmere,triangle-sjaal-cashmere-w161-nl-28
70003-0337,Triangle sjaal van cashmere,Fijn breisel,,,,,,,Driehoekig gebreide sjaal,,,,,,,,,,,,,220,150,Handwas,1 maat,100% Cashmere,triangle-sjaal-cashmere-w161-nl-29
70003-0354,Triangle sjaal van cashmere,Fijn breisel,,,,,,,Driehoekig gebreide sjaal,,,,,,,,,,,,,220,150,Handwas,1 maat,100% Cashmere,triangle-sjaal-cashmere-w161-nl-30
70003-0357,Triangle sjaal van cashmere,Fijn breisel,,,,,,,Driehoekig gebreide sjaal,,,,,,,,,,,,,220,150,Handwas,1 maat,100% Cashmere,triangle-sjaal-cashmere-w161-nl-31
70003-0359,Triangle sjaal van cashmere,Fijn breisel,,,,,,,Driehoekig gebreide sjaal,,,,,,,,,,,,,220,150,Handwas,1 maat,100% Cashmere,triangle-sjaal-cashmere-w161-nl-32
70003-0366,Triangle sjaal van cashmere,Fijn breisel,,,,,,,Driehoekig gebreide sjaal,,,,,,,,,,,,,220,150,Handwas,1 maat,100% Cashmere,triangle-sjaal-cashmere-w161-nl-33
70003-0367,Triangle sjaal van cashmere,Fijn breisel,,,,,,,Driehoekig gebreide sjaal,,,,,,,,,,,,,220,150,Handwas,1 maat,100% Cashmere,triangle-sjaal-cashmere-w161-nl-34
70003-0368,Triangle sjaal van cashmere,Fijn breisel,,,,,,,Driehoekig gebreide sjaal,,,,,,,,,,,,,220,150,Handwas,1 maat,100% Cashmere,triangle-sjaal-cashmere-w161-nl-35
70003-0370,Triangle sjaal van cashmere,Fijn breisel,,,,,,,Driehoekig gebreide sjaal,,,,,,,,,,,,,220,150,Handwas,1 maat,100% Cashmere,triangle-sjaal-cashmere-w161-nl-36
70003-0371,Triangle sjaal van cashmere,Fijn breisel,,,,,,,Driehoekig gebreide sjaal,,,,,,,,,,,,,220,150,Handwas,1 maat,100% Cashmere,triangle-sjaal-cashmere-w161-nl-37
70003-0373,Triangle sjaal van cashmere,Fijn breisel,,,,,,,Driehoekig gebreide sjaal,,,,,,,,,,,,,220,150,Handwas,1 maat,100% Cashmere,triangle-sjaal-cashmere-w161-nl-38
70005-0305,Brede sjaal van cashmere,Fijn breisel,,,,,,,Recht gebreide sjaal,,,,,,,,,,,,,75,200,Handwas,1 maat,100% Cashmere,brede-sjaal-cashmere-w161-nl-39
