sku,category,name,texture_knit,texture_woven,texture_shirt,neckline,sleeve_length,start_end,closure_front,cutting,fit,pockets,leather_details,slit,shoulder_finishing,pattern,fancy_yarn,detail_1,detail_2,detail_3,detail_4,detail_5,chest_width,length,care_info_short,model_wears,quality,url_key
86972-6318,"Women;Women/Pullovers",Fringed pullover,Fine knit,,,Boat neckline with ribbed edge,3/4 sleeves in ribbed knit,Ribbed cuffs,,Oversized knitted pullover,"Loose, relaxed fit",,,,Dropped shoulders,,,Raised side seams with fringe,,,,,78,68,Hand wash,Our model is 1.78m tall and wears size 36/XS,80% Wool / 20% Cashmere,fringed-pullover-w161-en-507
86972-6318-36,,Fringed pullover,,,,,,,,,,,,,,,,,,,,,,,,,,fringed-pullover-w161-en-2230
86972-6318-38,,Fringed pullover,,,,,,,,,,,,,,,,,,,,,,,,,,fringed-pullover-w161-en-2231
86972-6318-40,,Fringed pullover,,,,,,,,,,,,,,,,,,,,,,,,,,fringed-pullover-w161-en-2232
86969-6331,"Women;Women/Pullovers",Pullover with deep V-neckline,Fine knit,,,Deep V-neck,3/4 sleeves with ribbed cuffs,Wide cuffs,,Oversized knitted pullover,"Loose, relaxed fit",,,,Dropped shoulders,,,Dividing seam at back,,,,,62,68,Hand wash,Our model is 1.78m tall and wears size 36/XS,80% Wool / 20% Cashmere,pullover-deep-v-neckline-w161-en-505
86969-6331-34,,Pullover with deep V-neckline,,,,,,,,,,,,,,,,,,,,,,,,,,pullover-deep-v-neckline-w161-en-2220
86969-6331-36,,Pullover with deep V-neckline,,,,,,,,,,,,,,,,,,,,,,,,,,pullover-deep-v-neckline-w161-en-2221
86969-6331-38,,Pullover with deep V-neckline,,,,,,,,,,,,,,,,,,,,,,,,,,pullover-deep-v-neckline-w161-en-2222
86969-6331-40,,Pullover with deep V-neckline,,,,,,,,,,,,,,,,,,,,,,,,,,pullover-deep-v-neckline-w161-en-2223
86969-6331-42,,Pullover with deep V-neckline,,,,,,,,,,,,,,,,,,,,,,,,,,pullover-deep-v-neckline-w161-en-2224
86969-6318,"Women;Women/Pullovers",Pullover with deep V-neckline,Fine knit,,,Deep V-neck,3/4 sleeves with ribbed cuffs,Wide cuffs,,Oversized knitted pullover,"Loose, relaxed fit",,,,Dropped shoulders,,,Dividing seam at back,,,,,62,68,Hand wash,Our model is 1.78m tall and wears size 36/XS,80% Wool / 20% Cashmere,pullover-deep-v-neckline-w161-en-504
86969-6318-34,,Pullover with deep V-neckline,,,,,,,,,,,,,,,,,,,,,,,,,,pullover-deep-v-neckline-w161-en-2215
86969-6318-36,,Pullover with deep V-neckline,,,,,,,,,,,,,,,,,,,,,,,,,,pullover-deep-v-neckline-w161-en-2216
86969-6318-38,,Pullover with deep V-neckline,,,,,,,,,,,,,,,,,,,,,,,,,,pullover-deep-v-neckline-w161-en-2217
86969-6318-40,,Pullover with deep V-neckline,,,,,,,,,,,,,,,,,,,,,,,,,,pullover-deep-v-neckline-w161-en-2218
86969-6318-42,,Pullover with deep V-neckline,,,,,,,,,,,,,,,,,,,,,,,,,,pullover-deep-v-neckline-w161-en-2219
86631-6331,"Women;Women/Cardigans",Knitted jacket,Chunky knit with different structures,,,Lapel collar,Long sleeves,Ribbed cuffs,Open front,Oversized knitted cardigan,"Loose, relaxed fit",Large patch pockets,,,,,Fancy yarn,Mix of textures,,,,,52,68,Hand wash,Our model is 1.78m tall and wears size 36/XS,29% Acrylic / 22% Mohair / 20% Nylon / 19% Viscose / 10% Wool,knitted-jacket-w161-en-475
86631-6331-36,,Knitted jacket,,,,,,,,,,,,,,,,,,,,,,,,,,knitted-jacket-w161-en-2133
86631-6331-38,,Knitted jacket,,,,,,,,,,,,,,,,,,,,,,,,,,knitted-jacket-w161-en-2134
86631-6331-40,,Knitted jacket,,,,,,,,,,,,,,,,,,,,,,,,,,knitted-jacket-w161-en-2135
86631-6331-42,,Knitted jacket,,,,,,,,,,,,,,,,,,,,,,,,,,knitted-jacket-w161-en-2136
86521-6325,"Women;Women/Pullovers",Cowl neck sweater,Horizontal rib structure,,,Cowl neck,"Long, structured sleeves",Ribbed cuffs,,Straight knitted pullover,Loose fit,,,Side slits,Dropped shoulder seam,,,,,,,,56,62,Hand wash,Our model is 1.78m tall and wears size 36/XS,100% Merino Wool,cowl-neck-sweater-w161-en-404
86521-6325-36,,Cowl neck sweater,,,,,,,,,,,,,,,,,,,,,,,,,,cowl-neck-sweater-w161-en-1832
86521-6325-38,,Cowl neck sweater,,,,,,,,,,,,,,,,,,,,,,,,,,cowl-neck-sweater-w161-en-1833
86521-6325-40,,Cowl neck sweater,,,,,,,,,,,,,,,,,,,,,,,,,,cowl-neck-sweater-w161-en-1834
86521-6325-42,,Cowl neck sweater,,,,,,,,,,,,,,,,,,,,,,,,,,cowl-neck-sweater-w161-en-1835
86510-6318,"Women;Women/Pullovers",Deep V-neck sweater,Fine knit,,,Deep V-neckline with overlapping seam,Long sleeves,Ribbed cuffs,,Straight knitted pullover,"Loose, relaxed fit",,,Side slits,Dropped shoulder seam,,,,,,,,62,68,Hand wash,Our model is 1.78m tall and wears size 36/XS,80% Wool / 20% Cashmere,deep-v-neck-sweater-w161-en-385
86510-6318-36,,Deep V-neck sweater,,,,,,,,,,,,,,,,,,,,,,,,,,deep-v-neck-sweater-w161-en-1764
86510-6318-38,,Deep V-neck sweater,,,,,,,,,,,,,,,,,,,,,,,,,,deep-v-neck-sweater-w161-en-1765
86510-6318-40,,Deep V-neck sweater,,,,,,,,,,,,,,,,,,,,,,,,,,deep-v-neck-sweater-w161-en-1766
86510-6318-42,,Deep V-neck sweater,,,,,,,,,,,,,,,,,,,,,,,,,,deep-v-neck-sweater-w161-en-1767
86504-6331,"Women;Women/Pullovers",Cropped round neck pullover,Fine knit,,,Round neckline with ribbed edge,Long sleeves with ribbed structure,Ribbed cuffs,,Oversized knitted pullover,"Loose, relaxed fit",,,High side slits,Dropped shoulder seam,,,Pointed hem,,,,,66,64,Hand wash,Our model is 1.78m tall and wears size 36/XS,80% Wool / 20% Cashmere,cropped-round-neck-pullover-w161-en-377
86504-6331-34,,Cropped round neck pullover,,,,,,,,,,,,,,,,,,,,,,,,,,cropped-round-neck-pullover-w161-en-1729
86504-6331-36,,Cropped round neck pullover,,,,,,,,,,,,,,,,,,,,,,,,,,cropped-round-neck-pullover-w161-en-1730
86504-6331-38,,Cropped round neck pullover,,,,,,,,,,,,,,,,,,,,,,,,,,cropped-round-neck-pullover-w161-en-1731
86504-6331-40,,Cropped round neck pullover,,,,,,,,,,,,,,,,,,,,,,,,,,cropped-round-neck-pullover-w161-en-1732
86504-6331-42,,Cropped round neck pullover,,,,,,,,,,,,,,,,,,,,,,,,,,cropped-round-neck-pullover-w161-en-1733
86499-6325,"Women;Women/Pullovers",Long A-line pullover,Fine knit,,,Boat neckline with ribbed edge,Rolled-up raglan sleeves,Ribbed cuffs,,A-line knitted pullover,Loose fit,,,Slit hem,,,,Long style,,,,,50,68,Hand wash,Our model is 1.78m tall and wears size 36/XS,80% Wool / 20% Cashmere,long-a-line-pullover-w161-en-373
86499-6325-36,,Long A-line pullover,,,,,,,,,,,,,,,,,,,,,,,,,,long-a-line-pullover-w161-en-1713
86499-6325-38,,Long A-line pullover,,,,,,,,,,,,,,,,,,,,,,,,,,long-a-line-pullover-w161-en-1714
86499-6325-40,,Long A-line pullover,,,,,,,,,,,,,,,,,,,,,,,,,,long-a-line-pullover-w161-en-1715
86499-6325-42,,Long A-line pullover,,,,,,,,,,,,,,,,,,,,,,,,,,long-a-line-pullover-w161-en-1716
85300-6370,"Women;Women/Pullovers",Basic cashmere V-neck pullover,Fine knit,,,V-neckline with ribbed edge,Long sleeves,Ribbed cuffs,,Body-hugging knitted pullover,Slim fit,,,,,,,,,,,,45,60,Hand wash,Our model is 1.78m tall and wears size 36/XS,100% Cashmere,basic-cashmere-v-neck-pullover-w161-en-323
