sku,name,texture_knit,texture_woven,texture_shirt,neckline,sleeve_length,start_end,closure_front,cutting,fit,pockets,leather_details,slit,shoulder_finishing,pattern,fancy_yarn,detail_1,detail_2,detail_3,detail_4,detail_5,chest_width,length,care_info_short,model_wears,quality,url_key
86972-6318,Wollen trui met franjes,Fijngebreid,,,Boothals met geribde bies,3/4-mouwen in ribpatroon,Gebreide ribboorden,,Oversized gebreide trui,"Wijde, ruime pasvorm",,,,Lage schoudernaad,,,Naar voren verplaatste zijnaden met franje,,,,,78,68,Handwas,Ons model is 178 cm lang en draagt maat 36/XS,80% Wol / 20% Cashmere,wollen-trui-franjes-w161-nl-507
86972-6318-36,Wollen trui met franjes,,,,,,,,,,,,,,,,,,,,,,,,,,wollen-trui-franjes-w161-nl-2230
86972-6318-38,Wollen trui met franjes,,,,,,,,,,,,,,,,,,,,,,,,,,wollen-trui-franjes-w161-nl-2231
86972-6318-40,Wollen trui met franjes,,,,,,,,,,,,,,,,,,,,,,,,,,wollen-trui-franjes-w161-nl-2232
86969-6331,Trui met diepe V-hals,Fijngebreid,,,Diepe V-hals,3/4-mouwen,Brede ribboorden,,Oversized gebreide trui,"Wijde, ruime pasvorm",,,,Lage schoudernaad,,,Deelnaad achter,,,,,62,68,Handwas,Ons model is 178 cm lang en draagt maat 36/XS,80% Wol / 20% Cashmere,trui-diepe-v-hals-w161-nl-505
86969-6331-34,Trui met diepe V-hals,,,,,,,,,,,,,,,,,,,,,,,,,,trui-diepe-v-hals-w161-nl-2220
86969-6331-36,Trui met diepe V-hals,,,,,,,,,,,,,,,,,,,,,,,,,,trui-diepe-v-hals-w161-nl-2221
86969-6331-38,Trui met diepe V-hals,,,,,,,,,,,,,,,,,,,,,,,,,,trui-diepe-v-hals-w161-nl-2222
86969-6331-40,Trui met diepe V-hals,,,,,,,,,,,,,,,,,,,,,,,,,,trui-diepe-v-hals-w161-nl-2223
86969-6331-42,Trui met diepe V-hals,,,,,,,,,,,,,,,,,,,,,,,,,,trui-diepe-v-hals-w161-nl-2224
86969-6318,Trui met diepe V-hals,Fijngebreid,,,Diepe V-hals,3/4-mouwen,Brede ribboorden,,Oversized gebreide trui,"Wijde, ruime pasvorm",,,,Lage schoudernaad,,,Deelnaad achter,,,,,62,68,Handwas,Ons model is 178 cm lang en draagt maat 36/XS,80% Wol / 20% Cashmere,trui-diepe-v-hals-w161-nl-504
86969-6318-34,Trui met diepe V-hals,,,,,,,,,,,,,,,,,,,,,,,,,,trui-diepe-v-hals-w161-nl-2215
86969-6318-36,Trui met diepe V-hals,,,,,,,,,,,,,,,,,,,,,,,,,,trui-diepe-v-hals-w161-nl-2216
86969-6318-38,Trui met diepe V-hals,,,,,,,,,,,,,,,,,,,,,,,,,,trui-diepe-v-hals-w161-nl-2217
