sku,name,texture_knit,texture_woven,texture_shirt,neckline,sleeve_length,start_end,closure_front,cutting,fit,pockets,leather_details,slit,shoulder_finishing,pattern,fancy_yarn,detail_1,detail_2,detail_3,detail_4,detail_5,chest_width,length,care_info_short,model_wears,quality,url_key
86972-6318,Pullover mit Fransen,Feinstrick,,,U-Boot-Ausschnitt mit Rippkante,3/4 Ärmel in Rippstrick,Rippstrickbündchen,,oversized gestrickter Pullover,"weite, lässige Passform",,,,überschnittene Schultern,,,vorverlegte Seitennähte mit Fransen,,,,,78,68,Handwäsche,unser Model ist 1.78m groß und trägt Größe 36/XS,80% Wolle / 20% Kaschmir,pullover-fransen-w161-de-507
86972-6318-36,Pullover mit Fransen,,,,,,,,,,,,,,,,,,,,,,,,,,pullover-fransen-w161-de-2230
86972-6318-38,Pullover mit Fransen,,,,,,,,,,,,,,,,,,,,,,,,,,pullover-fransen-w161-de-2231
86972-6318-40,Pullover mit Fransen,,,,,,,,,,,,,,,,,,,,,,,,,,pullover-fransen-w161-de-2232
86969-6331,Pullover mit tiefem V-Ausschnitt,Feinstrick,,,tiefer V-Ausschnitt,3/4 Ärmel mit Rippbündchen,breite Bündchen,,oversized gestrickter Pullover,"weite, lässige Passform",,,,überschnittene Schultern,,,Teilungsnaht im Rücken,,,,,62,68,Handwäsche,unser Model ist 1.78m groß und trägt Größe 36/XS,80% Wolle / 20% Kaschmir,pullover-tiefem-v-ausschnitt-w161-de-505
86969-6331-34,Pullover mit tiefem V-Ausschnitt,,,,,,,,,,,,,,,,,,,,,,,,,,pullover-tiefem-v-ausschnitt-w161-de-2220
86969-6331-36,Pullover mit tiefem V-Ausschnitt,,,,,,,,,,,,,,,,,,,,,,,,,,pullover-tiefem-v-ausschnitt-w161-de-2221
86969-6331-38,Pullover mit tiefem V-Ausschnitt,,,,,,,,,,,,,,,,,,,,,,,,,,pullover-tiefem-v-ausschnitt-w161-de-2222
86969-6331-40,Pullover mit tiefem V-Ausschnitt,,,,,,,,,,,,,,,,,,,,,,,,,,pullover-tiefem-v-ausschnitt-w161-de-2223
86969-6331-42,Pullover mit tiefem V-Ausschnitt,,,,,,,,,,,,,,,,,,,,,,,,,,pullover-tiefem-v-ausschnitt-w161-de-2224
86969-6318,Pullover mit tiefem V-Ausschnitt,Feinstrick,,,tiefer V-Ausschnitt,3/4 Ärmel mit Rippbündchen,breite Bündchen,,oversized gestrickter Pullover,"weite, lässige Passform",,,,überschnittene Schultern,,,Teilungsnaht im Rücken,,,,,62,68,Handwäsche,unser Model ist 1.78m groß und trägt Größe 36/XS,80% Wolle / 20% Kaschmir,pullover-tiefem-v-ausschnitt-w161-de-504
86969-6318-34,Pullover mit tiefem V-Ausschnitt,,,,,,,,,,,,,,,,,,,,,,,,,,pullover-tiefem-v-ausschnitt-w161-de-2215
86969-6318-36,Pullover mit tiefem V-Ausschnitt,,,,,,,,,,,,,,,,,,,,,,,,,,pullover-tiefem-v-ausschnitt-w161-de-2216
86969-6318-38,Pullover mit tiefem V-Ausschnitt,,,,,,,,,,,,,,,,,,,,,,,,,,pullover-tiefem-v-ausschnitt-w161-de-2217
86969-6318-40,Pullover mit tiefem V-Ausschnitt,,,,,,,,,,,,,,,,,,,,,,,,,,pullover-tiefem-v-ausschnitt-w161-de-2218
