sku,price,name,texture_knit,texture_woven,texture_shirt,neckline,sleeve_length,start_end,closure_front,cutting,fit,pockets,leather_details,slit,shoulder_finishing,pattern,fancy_yarn,detail_1,detail_2,detail_3,detail_4,detail_5,chest_width,length,care_info_short,model_wears,quality,url_key
70001-0307,259.9,Basic Strickponcho,Feinstrick,,,U-Boot-Ausschnitt,"offene Seiten, keine Armlöcher",,,spitz gestrickter Poncho,"weite, lässige Passform",,,,,,,,,,,,102,90,Handwäsche,Größe One Size ,100% Kaschmir,basic-strickponcho-w161-chde-1
70001-0325,259.9,Basic Strickponcho,Feinstrick,,,U-Boot-Ausschnitt,"offene Seiten, keine Armlöcher",,,spitz gestrickter Poncho,"weite, lässige Passform",,,,,,,,,,,,102,90,Handwäsche,Größe One Size ,100% Kaschmir,basic-strickponcho-w161-chde-2
70001-0330,259.9,Basic Strickponcho,Feinstrick,,,U-Boot-Ausschnitt,"offene Seiten, keine Armlöcher",,,spitz gestrickter Poncho,"weite, lässige Passform",,,,,,,,,,,,102,90,Handwäsche,Größe One Size ,100% Kaschmir,basic-strickponcho-w161-chde-3
70001-0331,259.9,Basic Strickponcho,Feinstrick,,,U-Boot-Ausschnitt,"offene Seiten, keine Armlöcher",,,spitz gestrickter Poncho,"weite, lässige Passform",,,,,,,,,,,,102,90,Handwäsche,Größe One Size ,100% Kaschmir,basic-strickponcho-w161-chde-4
70001-0337,259.9,Basic Strickponcho,Feinstrick,,,U-Boot-Ausschnitt,"offene Seiten, keine Armlöcher",,,spitz gestrickter Poncho,"weite, lässige Passform",,,,,,,,,,,,102,90,Handwäsche,Größe One Size ,100% Kaschmir,basic-strickponcho-w161-chde-5
70001-0354,259.9,Basic Strickponcho,Feinstrick,,,U-Boot-Ausschnitt,"offene Seiten, keine Armlöcher",,,spitz gestrickter Poncho,"weite, lässige Passform",,,,,,,,,,,,102,90,Handwäsche,Größe One Size ,100% Kaschmir,basic-strickponcho-w161-chde-6
70001-0370,259.9,Basic Strickponcho,Feinstrick,,,U-Boot-Ausschnitt,"offene Seiten, keine Armlöcher",,,spitz gestrickter Poncho,"weite, lässige Passform",,,,,,,,,,,,102,90,Handwäsche,Größe One Size ,100% Kaschmir,basic-strickponcho-w161-chde-7
70001-0373,259.9,Basic Strickponcho,Feinstrick,,,U-Boot-Ausschnitt,"offene Seiten, keine Armlöcher",,,spitz gestrickter Poncho,"weite, lässige Passform",,,,,,,,,,,,102,90,Handwäsche,Größe One Size ,100% Kaschmir,basic-strickponcho-w161-chde-8
70002-0305,159.9,Oversized Kaschmirschal,Feinstrick,,,,,gerippte Abschlüsse,,gerade gestrickter Schal,,,,,,,,,,,,,40,175,Handwäsche,Größe One Size ,100% Kaschmir,oversized-kaschmirschal-w161-chde-9
70002-0307,159.9,Oversized Kaschmirschal,Feinstrick,,,,,gerippte Abschlüsse,,gerade gestrickter Schal,,,,,,,,,,,,,40,175,Handwäsche,Größe One Size ,100% Kaschmir,oversized-kaschmirschal-w161-chde-10
70002-0311,159.9,Oversized Kaschmirschal,Feinstrick,,,,,gerippte Abschlüsse,,gerade gestrickter Schal,,,,,,,,,,,,,40,175,Handwäsche,Größe One Size ,100% Kaschmir,oversized-kaschmirschal-w161-chde-11
70002-0318,159.9,Oversized Kaschmirschal,Feinstrick,,,,,gerippte Abschlüsse,,gerade gestrickter Schal,,,,,,,,,,,,,40,175,Handwäsche,Größe One Size ,100% Kaschmir,oversized-kaschmirschal-w161-chde-12
70002-0325,159.9,Oversized Kaschmirschal,Feinstrick,,,,,gerippte Abschlüsse,,gerade gestrickter Schal,,,,,,,,,,,,,40,175,Handwäsche,Größe One Size ,100% Kaschmir,oversized-kaschmirschal-w161-chde-13
70002-0330,159.9,Oversized Kaschmirschal,Feinstrick,,,,,gerippte Abschlüsse,,gerade gestrickter Schal,,,,,,,,,,,,,40,175,Handwäsche,Größe One Size ,100% Kaschmir,oversized-kaschmirschal-w161-chde-14
70002-0331,159.9,Oversized Kaschmirschal,Feinstrick,,,,,gerippte Abschlüsse,,gerade gestrickter Schal,,,,,,,,,,,,,40,175,Handwäsche,Größe One Size ,100% Kaschmir,oversized-kaschmirschal-w161-chde-15
70002-0337,159.9,Oversized Kaschmirschal,Feinstrick,,,,,gerippte Abschlüsse,,gerade gestrickter Schal,,,,,,,,,,,,,40,175,Handwäsche,Größe One Size ,100% Kaschmir,oversized-kaschmirschal-w161-chde-16
70002-0354,159.9,Oversized Kaschmirschal,Feinstrick,,,,,gerippte Abschlüsse,,gerade gestrickter Schal,,,,,,,,,,,,,40,175,Handwäsche,Größe One Size ,100% Kaschmir,oversized-kaschmirschal-w161-chde-17
70002-0357,159.9,Oversized Kaschmirschal,Feinstrick,,,,,gerippte Abschlüsse,,gerade gestrickter Schal,,,,,,,,,,,,,40,175,Handwäsche,Größe One Size ,100% Kaschmir,oversized-kaschmirschal-w161-chde-18
70002-0359,159.9,Oversized Kaschmirschal,Feinstrick,,,,,gerippte Abschlüsse,,gerade gestrickter Schal,,,,,,,,,,,,,40,175,Handwäsche,Größe One Size ,100% Kaschmir,oversized-kaschmirschal-w161-chde-19
70002-0366,159.9,Oversized Kaschmirschal,Feinstrick,,,,,gerippte Abschlüsse,,gerade gestrickter Schal,,,,,,,,,,,,,40,175,Handwäsche,Größe One Size ,100% Kaschmir,oversized-kaschmirschal-w161-chde-20
70002-0371,159.9,Oversized Kaschmirschal,Feinstrick,,,,,gerippte Abschlüsse,,gerade gestrickter Schal,,,,,,,,,,,,,40,175,Handwäsche,Größe One Size ,100% Kaschmir,oversized-kaschmirschal-w161-chde-21
