uuid,repeat_lp,repeat_ek
adasd21,19.99,25.9
72406-4304-S,30.12,45.9
72406-4304-M,30.12,45.9
72406-4304-L,30.12,45.9
72437-4304-0,46.29,79.9
72439-4303-0,40.23,56.9
72445-4304-S,50.84,71.9
72445-4304-M,50.84,71.9
72511-4304-0,21.52,25.9
72514-4314-0,32.64,49.9
85076-4304-36,80.17,106.9
85076-4304-38,80.17,106.9
85076-4304-40,80.17,106.9
85076-4304-42,80.17,106.9
85081-4352-36,56.91,85.9
85081-4352-38,56.91,85.9
85081-4352-40,56.91,85.9
85081-4352-42,56.91,85.9
85083-4350-36,61.46,89.9
85083-4350-38,61.46,89.9
85083-4350-40,61.46,89.9
85083-4350-42,61.46,89.9
85083-4352-36,61.46,89.9
85083-4352-38,61.46,89.9
85083-4352-40,61.46,89.9
85083-4352-42,61.46,89.9
85083-4365-36,61.46,89.9
85083-4365-38,61.46,89.9
85083-4365-40,61.46,89.9
85083-4365-42,61.46,89.9
86019-4315-36,62.47,92.9
86019-4315-38,62.47,92.9
86019-4315-40,62.47,92.9
86119-4306-36,49.33,81.9
86119-4306-38,49.33,81.9
86119-4306-40,49.33,81.9
86119-4306-42,49.33,81.9
86119-4306-44,49.33,81.9
86328-4309-S,35.89,49.9
86328-4309-M,35.89,49.9
86328-4309-L,35.89,49.9
87734-4377-48,65.91,78.9
87734-4377-50,65.91,78.9
87734-4377-52,65.91,78.9
87734-4377-54,65.91,78.9
87734-4377-56,65.91,78.9
87734-4378-48,65.91,78.9
87734-4378-50,65.91,78.9
87734-4378-52,65.91,78.9
87734-4378-54,65.91,78.9
87734-4378-56,65.91,78.9
87735-4309-48,70.96,85.9
87735-4309-50,70.96,85.9
87735-4309-52,70.96,85.9
87735-4309-54,70.96,85.9
87735-4309-56,70.96,85.9
87735-4324-48,70.96,85.9
87735-4324-50,70.96,85.9
87735-4324-52,70.96,85.9
87735-4324-54,70.96,85.9
87735-4324-56,70.96,85.9
87735-4325-48,70.96,85.9
87735-4325-50,70.96,85.9
87735-4325-52,70.96,85.9
87735-4325-54,70.96,85.9
87735-4325-56,70.96,85.9
87735-4331-48,70.96,85.9
87735-4331-50,70.96,85.9
87735-4331-52,70.96,85.9
87735-4331-54,70.96,85.9
87735-4331-56,70.96,85.9
87736-4324-48,59.84,70.9
87736-4324-50,59.84,70.9
87736-4324-52,59.84,70.9
87736-4324-54,59.84,70.9
87736-4324-56,59.84,70.9
87736-4377-48,59.84,70.9
87736-4377-50,59.84,70.9
87736-4377-52,59.84,70.9
87736-4377-54,59.84,70.9
87736-4377-56,59.84,70.9
87736-4378-48,59.84,70.9
87736-4378-50,59.84,70.9
87736-4378-52,59.84,70.9
87736-4378-54,59.84,70.9
87736-4378-56,59.84,70.9
87737-4377-48,59.84,70.9
87737-4377-50,59.84,70.9
87737-4377-52,59.84,70.9
87737-4377-54,59.84,70.9
87737-4377-56,59.84,70.9
87737-4378-48,59.84,70.9
87737-4378-50,59.84,70.9
87737-4378-52,59.84,70.9
87737-4378-54,59.84,70.9
87737-4378-56,59.84,70.9
88248-4325-36,102.45,110.9
88248-4325-38,102.45,110.9
88248-4325-40,102.45,110.9
88248-4325-42,102.45,110.9
88255-4332-36,203.29,221.9
88255-4332-38,203.29,221.9
88255-4332-40,203.29,221.9
88255-4332-42,203.29,221.9
88267-4325-36,212.65,221.9
88267-4325-38,212.65,221.9
88267-4325-40,212.65,221.9
88267-4325-42,212.65,221.9
88711-4610-36,10.2,17.9
88711-4610-38,10.2,17.9
88711-4610-40,10.2,17.9
88711-4610-42,10.2,17.9
88711-4610-44,10.2,17.9
88980-4362-36,19.3,30.9
88980-4362-38,19.3,30.9
88980-4362-40,19.3,30.9
88980-4362-42,19.3,30.9
88980-4362-44,19.3,30.9
88998-4334-36,21.6,34.9
88998-4334-38,21.6,34.9
88998-4334-40,21.6,34.9
88998-4334-42,21.6,34.9
88998-4334-44,21.6,34.9
71560-0199-0,4.83,5.5
12022-5318-36,47.64,71.9
12022-5318-38,47.64,71.9
12022-5318-40,47.64,71.9
12022-5318-42,47.64,71.9
12022-5390-36,47.64,71.9
12022-5390-38,47.64,71.9
12022-5390-40,47.64,71.9
12022-5390-42,47.64,71.9
12023-5318-36,40.6,64.9
12023-5318-38,40.6,64.9
12023-5318-40,40.6,64.9
12023-5318-42,40.6,64.9
12023-5390-36,40.6,64.9
12023-5390-38,40.6,64.9
12023-5390-40,40.6,64.9
12023-5390-42,40.6,64.9
12024-5318-36,40.29,64.9
12024-5318-38,40.29,64.9
12024-5318-40,40.29,64.9
12024-5318-42,40.29,64.9
12024-5390-36,40.29,64.9
12024-5390-38,40.29,64.9
12024-5390-40,40.29,64.9
12024-5390-42,40.29,64.9
12026-5318-36,42.15,64.9
12026-5318-38,42.15,64.9
12026-5318-40,42.15,64.9
12026-5318-42,42.15,64.9
12026-5390-36,42.15,64.9
12026-5390-38,42.15,64.9
12026-5390-40,42.15,64.9
12026-5390-42,42.15,64.9
12027-5318-36,40.13,55.9
12027-5318-38,40.13,55.9
12027-5318-40,40.13,55.9
12027-5318-42,40.13,55.9
12027-5390-36,40.13,55.9
12027-5390-38,40.13,55.9
12027-5390-40,40.13,55.9
12027-5390-42,40.13,55.9
12029-5318-36,40.91,55.9
12029-5318-38,40.91,55.9
12029-5318-40,40.91,55.9
12029-5318-42,40.91,55.9
12029-5390-36,40.91,55.9
12029-5390-38,40.91,55.9
12029-5390-40,40.91,55.9
12029-5390-42,40.91,55.9
12031-5318-36,54.52,84.9
12031-5318-38,54.52,84.9
12031-5318-40,54.52,84.9
12031-5318-42,54.52,84.9
12031-5325-36,54.52,84.9
12031-5325-38,54.52,84.9
12031-5325-40,54.52,84.9
12031-5325-42,54.52,84.9
12043-5333-36,95.05,106.9
12043-5333-38,95.05,106.9
12043-5333-40,95.05,106.9
12043-5333-42,95.05,106.9
12045-5333-36,54.72,84.9
12045-5333-38,54.72,84.9
12045-5333-40,54.72,84.9
12045-5333-42,54.72,84.9
12046-5320-36,79.13,102.9
12046-5320-38,79.13,102.9
12046-5320-40,79.13,102.9
12046-5320-42,79.13,102.9
12049-5320-36,72.2,95.9
12049-5320-38,72.2,95.9
12049-5320-40,72.2,95.9
12049-5320-42,72.2,95.9
12049-5331-36,72.2,95.9
12049-5331-38,72.2,95.9
12049-5331-40,72.2,95.9
12049-5331-42,72.2,95.9
12328-5318-36,58.23,84.9
12328-5318-38,58.23,84.9
12328-5318-40,58.23,84.9
12328-5325-36,58.23,84.9
12328-5325-38,58.23,84.9
12328-5325-40,58.23,84.9
12329-5318-36,44.46,71.9
12329-5318-38,44.46,71.9
12329-5318-40,44.46,71.9
12329-5325-36,44.46,71.9
12329-5325-38,44.46,71.9
12329-5325-40,44.46,71.9
12329-5325-42,44.46,71.9
12332-5318-34,60.88,89.9
12332-5318-36,60.88,89.9
12332-5318-38,60.88,89.9
12332-5318-40,60.88,89.9
12332-5318-42,60.88,89.9
12332-5337-36,60.88,89.9
12332-5337-38,60.88,89.9
12332-5337-40,60.88,89.9
12332-5337-42,60.88,89.9
12333-5332-34,59.37,79.9
12333-5332-36,59.37,79.9
12333-5332-38,59.37,79.9
12333-5332-40,59.37,79.9
12333-5332-42,59.37,79.9
12335-5332-36,58.75,79.9
12335-5332-38,58.75,79.9
12335-5332-40,58.75,79.9
12335-5332-42,58.75,79.9
12336-5332-34,60.35,82.9
12336-5332-36,60.35,82.9
12336-5332-38,60.35,82.9
12336-5332-40,60.35,82.9
12336-5332-42,60.35,82.9
12345-5320-36,43.89,71.9
12345-5320-38,43.89,71.9
12345-5320-40,43.89,71.9
12345-5332-36,43.89,71.9
12345-5332-38,43.89,71.9
12345-5332-40,43.89,71.9
12345-5332-42,43.89,71.9
70001-0309-0,44.22,65.9
70001-0320-0,44.22,65.9
70001-0326-0,44.22,65.9
70001-0329-0,44.22,65.9
70001-0332-0,44.22,65.9
70001-0339-0,44.22,65.9
70001-0364-0,44.22,65.9
70002-0304-0,25.69,35.9
70002-0322-0,25.69,35.9
70002-0329-0,25.69,35.9
70002-0340-0,25.69,35.9
70002-0341-0,25.69,35.9
70002-0343-0,25.69,35.9
70002-0344-0,25.69,35.9
70002-0346-0,25.69,35.9
70003-0309-0,41.05,62.9
70003-0320-0,41.05,62.9
70003-0324-0,41.05,62.9
70003-0326-0,41.05,62.9
70003-0329-0,41.05,62.9
70003-0338-0,41.05,62.9
70003-0339-0,41.05,62.9
70003-0341-0,41.05,62.9
70003-0344-0,41.05,62.9
70003-0346-0,41.05,62.9
70008-0309-0,19.33,27.9
70008-0318-0,19.33,27.9
70008-0320-0,19.33,27.9
70008-0326-0,19.33,27.9
70008-0329-0,19.33,27.9
70008-0340-0,19.33,27.9
70008-0341-0,19.33,27.9
70008-0343-0,19.33,27.9
70008-0344-0,19.33,27.9
70008-0346-0,19.33,27.9
70008-0364-0,19.33,27.9
